Geography,Geography code,Age,Sex,2015,2016
England,E92000001,18,All,661031,648918
England,E92000001,19,All,666840,672781
England,E92000001,20,All,673761,680387
England,E92000001,21,All,701685,685748
England,E92000001,22,All,712095,715536
England,E92000001,23,All,740862,726123
England,E92000001,24,All,763854,752162
England,E92000001,25,All,754595,773554
England,E92000001,26,All,749216,763613
England,E92000001,27,All,759356,757456
England,E92000001,28,All,742544,767042
England,E92000001,29,All,752257,749922
England,E92000001,30,All,754383,757634
England,E92000001,31,All,737768,758621
England,E92000001,32,All,744176,741533
England and Wales,K04000001,18,All,699829,686194
England and Wales,K04000001,19,All,706823,713266
England and Wales,K04000001,20,All,715172,721884
England and Wales,K04000001,21,All,745367,727282
England and Wales,K04000001,22,All,755077,758804
England and Wales,K04000001,23,All,783791,768520
England and Wales,K04000001,24,All,807064,794550
England and Wales,K04000001,25,All,795805,816440
England and Wales,K04000001,26,All,789261,804693
England and Wales,K04000001,27,All,798384,797538
England and Wales,K04000001,28,All,780238,806128
England and Wales,K04000001,29,All,789335,787679
England and Wales,K04000001,30,All,791532,794888
England and Wales,K04000001,31,All,773589,795897
England and Wales,K04000001,32,All,780403,777540
Great Britain,K03000001,18,All,762405,747145
Great Britain,K03000001,19,All,772806,779692
Great Britain,K03000001,20,All,783603,790408
Great Britain,K03000001,21,All,816734,797380
Great Britain,K03000001,22,All,828218,831379
Great Britain,K03000001,23,All,861276,842942
Great Britain,K03000001,24,All,884310,872898
Great Britain,K03000001,25,All,869952,894495
Great Britain,K03000001,26,All,862788,879636
Great Britain,K03000001,27,All,872223,871958
Great Britain,K03000001,28,All,851646,880641
Great Britain,K03000001,29,All,860300,859872
Great Britain,K03000001,30,All,862065,866454
Great Britain,K03000001,31,All,841865,866983
Great Britain,K03000001,32,All,849661,846415
Northern Ireland,N92000002,18,All,24973,24526
Northern Ireland,N92000002,19,All,23605,23885
Northern Ireland,N92000002,20,All,23460,23387
Northern Ireland,N92000002,21,All,23826,23223
Northern Ireland,N92000002,22,All,23838,23785
Northern Ireland,N92000002,23,All,24637,23815
Northern Ireland,N92000002,24,All,24781,24534
Northern Ireland,N92000002,25,All,24588,24714
Northern Ireland,N92000002,26,All,24606,24620
Northern Ireland,N92000002,27,All,24945,24657
Northern Ireland,N92000002,28,All,25012,24980
Northern Ireland,N92000002,29,All,25174,25075
Northern Ireland,N92000002,30,All,25024,25211
Northern Ireland,N92000002,31,All,24700,25022
Northern Ireland,N92000002,32,All,24444,24675
Scotland,S92000003,18,All,62576,60951
Scotland,S92000003,19,All,65983,66426
Scotland,S92000003,20,All,68431,68524
Scotland,S92000003,21,All,71367,70098
Scotland,S92000003,22,All,73141,72575
Scotland,S92000003,23,All,77485,74422
Scotland,S92000003,24,All,77246,78348
Scotland,S92000003,25,All,74147,78055
Scotland,S92000003,26,All,73527,74943
Scotland,S92000003,27,All,73839,74420
Scotland,S92000003,28,All,71408,74513
Scotland,S92000003,29,All,70965,72193
Scotland,S92000003,30,All,70533,71566
Scotland,S92000003,31,All,68276,71086
Scotland,S92000003,32,All,69258,68875
United Kingdom,K02000001,18,All,787378,771671
United Kingdom,K02000001,19,All,796411,803577
United Kingdom,K02000001,20,All,807063,813795
United Kingdom,K02000001,21,All,840560,820603
United Kingdom,K02000001,22,All,852056,855164
United Kingdom,K02000001,23,All,885913,866757
United Kingdom,K02000001,24,All,909091,897432
United Kingdom,K02000001,25,All,894540,919209
United Kingdom,K02000001,26,All,887394,904256
United Kingdom,K02000001,27,All,897168,896615
United Kingdom,K02000001,28,All,876658,905621
United Kingdom,K02000001,29,All,885474,884947
United Kingdom,K02000001,30,All,887089,891665
United Kingdom,K02000001,31,All,866565,892005
United Kingdom,K02000001,32,All,874105,871090
Wales,W92000004,18,All,38798,37276
Wales,W92000004,19,All,39983,40485
Wales,W92000004,20,All,41411,41497
Wales,W92000004,21,All,43682,41534
Wales,W92000004,22,All,42982,43268
Wales,W92000004,23,All,42929,42397
Wales,W92000004,24,All,43210,42388
Wales,W92000004,25,All,41210,42886
Wales,W92000004,26,All,40045,41080
Wales,W92000004,27,All,39028,40082
Wales,W92000004,28,All,37694,39086
Wales,W92000004,29,All,37078,37757
Wales,W92000004,30,All,37149,37254
Wales,W92000004,31,All,35821,37276
Wales,W92000004,32,All,36227,36007